run_id,timestamp,model,architecture,change_category,change_name,llm_calls,success,total_tokens,final_failure_reason
20260417_110036_pagination_and_envelope,2026-04-17T11:01:15.764978,GPT-4o mini,single_agent,medium,pagination_and_envelope,2,True,7324,
20260417_110115_error_paradigm_shift,2026-04-17T11:01:55.814558,GPT-4o mini,single_agent,hard,error_paradigm_shift,2,True,7342,
20260417_110155_semantic_split_and_enum,2026-04-17T11:02:13.787583,GPT-4o mini,single_agent,hard,semantic_split_and_enum,1,True,3317,
20260417_110213_pagination_and_envelope,2026-04-17T11:02:56.284511,GPT-4o mini,single_agent,medium,pagination_and_envelope,2,True,7397,
20260417_110256_error_paradigm_shift,2026-04-17T11:03:35.890667,GPT-4o mini,single_agent,hard,error_paradigm_shift,2,True,7228,
20260417_110335_semantic_split_and_enum,2026-04-17T11:03:56.118662,GPT-4o mini,single_agent,hard,semantic_split_and_enum,1,True,3251,
20260417_110356_pagination_and_envelope,2026-04-17T11:04:30.524782,GPT-4o mini,single_agent,medium,pagination_and_envelope,2,True,7249,
20260417_110430_error_paradigm_shift,2026-04-17T11:05:05.796331,GPT-4o mini,single_agent,hard,error_paradigm_shift,2,True,7220,
20260417_110505_semantic_split_and_enum,2026-04-17T11:05:24.588582,GPT-4o mini,single_agent,hard,semantic_split_and_enum,1,True,3325,
20260417_110524_pagination_and_envelope,2026-04-17T11:06:03.278739,GPT-4o mini,single_agent,medium,pagination_and_envelope,2,True,7268,
20260417_110603_error_paradigm_shift,2026-04-17T11:06:40.939364,GPT-4o mini,single_agent,hard,error_paradigm_shift,2,True,7270,
20260417_110640_semantic_split_and_enum,2026-04-17T11:06:57.826736,GPT-4o mini,single_agent,hard,semantic_split_and_enum,1,True,3302,
20260417_110657_pagination_and_envelope,2026-04-17T11:07:30.228667,GPT-4o mini,single_agent,medium,pagination_and_envelope,2,True,7239,
20260417_110730_error_paradigm_shift,2026-04-17T11:08:08.725919,GPT-4o mini,single_agent,hard,error_paradigm_shift,2,True,7265,
20260417_110808_semantic_split_and_enum,2026-04-17T11:08:29.103873,GPT-4o mini,single_agent,hard,semantic_split_and_enum,1,True,3289,
20260417_123936_MAS_pagination_and_envelope_batch_1,2026-04-17T12:40:32.482510,GPT-4o mini,multi_agent,medium,pagination_and_envelope,4,True,11189,
20260417_124032_MAS_error_paradigm_shift_batch_1,2026-04-17T12:41:45.116027,GPT-4o mini,multi_agent,hard,error_paradigm_shift,6,False,14740,== short test summary info =========================== FAILED test_main.py::test_get_user_not_found - assert 404 == 200 ============================== 1 failed in 0.45s ============================== 
