run_id,timestamp,architecture,change_category,change_name,llm_calls,success,total_tokens,final_failure_reason
20260414_131712_pagination_and_envelope,2026-04-14T13:19:08.385838,single_agent,medium,pagination_and_envelope,2,True,5930,
20260414_131908_error_paradigm_shift,2026-04-14T13:20:26.450643,single_agent,hard,error_paradigm_shift,2,True,5911,
20260414_132026_semantic_split_and_enum,2026-04-14T13:20:49.977122,single_agent,hard,semantic_split_and_enum,1,True,2846,
20260414_195526_MAS_pagination_and_envelope,2026-04-14T19:56:39.009094,multi_agent,medium,pagination_and_envelope,6,False,15348, short test summary info =========================== FAILED test_main.py::test_get_users - AssertionError: assert False ============================== 1 failed in 0.55s ============================== 
20260414_195639_MAS_error_paradigm_shift,2026-04-14T19:57:56.499405,multi_agent,hard,error_paradigm_shift,6,False,16292,== short test summary info =========================== FAILED test_main.py::test_get_user_not_found - assert 200 == 404 ============================== 1 failed in 0.52s ============================== 
20260414_195756_MAS_semantic_split_and_enum,2026-04-14T19:58:17.465421,multi_agent,hard,semantic_split_and_enum,2,True,4465,
20260414_201819_MAS_error_paradigm_shift,2026-04-14T20:19:46.964839,multi_agent,hard,error_paradigm_shift,6,True,16420,
20260415_154744_MAS_error_paradigm_shift,2026-04-15T15:48:46.697067,multi_agent,hard,error_paradigm_shift,6,True,16055,
20260415_155535_MAS_pagination_and_envelope,2026-04-15T15:56:26.591162,multi_agent,medium,pagination_and_envelope,4,True,11117,
20260415_155626_MAS_error_paradigm_shift,2026-04-15T15:57:28.416269,multi_agent,hard,error_paradigm_shift,6,True,15022,
20260415_155728_MAS_semantic_split_and_enum,2026-04-15T15:57:48.515273,multi_agent,hard,semantic_split_and_enum,2,True,4613,
