run_id,timestamp,model,architecture,change_category,change_name,llm_calls,success,total_tokens,final_failure_reason
20260430_150021_pagination_and_envelope,2026-04-30T15:00:49.091692,DeepSeek-Coder-V2-Lite-Instruct-AWQ,single_agent,medium,pagination_and_envelope,3,False,5567,==================== 1 error in 0.18s ======================================================================= ERROR: found no collectors for /home/jovyan/ai-agent-thesis/test_main.py::test_get_users  
20260430_150049_error_paradigm_shift,2026-04-30T15:01:20.157675,DeepSeek-Coder-V2-Lite-Instruct-AWQ,single_agent,hard,error_paradigm_shift,3,False,6098,=========== 1 error in 0.16s ======================================================================= ERROR: found no collectors for /home/jovyan/ai-agent-thesis/test_main.py::test_get_user_not_found  
20260430_150120_semantic_split_and_enum,2026-04-30T15:01:44.891400,DeepSeek-Coder-V2-Lite-Instruct-AWQ,single_agent,hard,semantic_split_and_enum,3,False,5469,================== 1 error in 0.17s ======================================================================= ERROR: found no collectors for /home/jovyan/ai-agent-thesis/test_main.py::test_create_user  
20260430_150144_pagination_and_envelope,2026-04-30T15:02:31.863162,DeepSeek-Coder-V2-Lite-Instruct-AWQ,single_agent,medium,pagination_and_envelope,3,False,6741,n 0.02s ===================================================================== ERROR: not found: /home/jovyan/ai-agent-thesis/test_main.py::test_get_users (no match in any of [<Module test_main.py>])  
20260430_150231_error_paradigm_shift,2026-04-30T15:03:19.289716,DeepSeek-Coder-V2-Lite-Instruct-AWQ,single_agent,hard,error_paradigm_shift,3,False,7153,==================================================================== ERROR: not found: /home/jovyan/ai-agent-thesis/test_main.py::test_get_user_not_found (no match in any of [<Module test_main.py>])  
20260430_150319_semantic_split_and_enum,2026-04-30T15:03:42.240250,DeepSeek-Coder-V2-Lite-Instruct-AWQ,single_agent,hard,semantic_split_and_enum,3,False,4936,================== 1 error in 0.16s ======================================================================= ERROR: found no collectors for /home/jovyan/ai-agent-thesis/test_main.py::test_create_user  
20260430_150342_pagination_and_envelope,2026-04-30T15:04:08.873378,DeepSeek-Coder-V2-Lite-Instruct-AWQ,single_agent,medium,pagination_and_envelope,3,False,5256,==================== 1 error in 0.19s ======================================================================= ERROR: found no collectors for /home/jovyan/ai-agent-thesis/test_main.py::test_get_users  
20260430_150408_error_paradigm_shift,2026-04-30T15:04:31.445723,DeepSeek-Coder-V2-Lite-Instruct-AWQ,single_agent,hard,error_paradigm_shift,3,False,5050,=========== 1 error in 0.17s ======================================================================= ERROR: found no collectors for /home/jovyan/ai-agent-thesis/test_main.py::test_get_user_not_found  
20260430_150431_semantic_split_and_enum,2026-04-30T15:05:45.573002,DeepSeek-Coder-V2-Lite-Instruct-AWQ,single_agent,hard,semantic_split_and_enum,3,False,9108,================== 1 error in 0.20s ======================================================================= ERROR: found no collectors for /home/jovyan/ai-agent-thesis/test_main.py::test_create_user  
20260430_150545_pagination_and_envelope,2026-04-30T15:06:30.769551,DeepSeek-Coder-V2-Lite-Instruct-AWQ,single_agent,medium,pagination_and_envelope,3,False,7131,py::test_get_users - assert 404 == 200 ====================================================================== 1 failed in 0.29s ======================================================================= 
20260430_150630_error_paradigm_shift,2026-04-30T15:07:17.217540,DeepSeek-Coder-V2-Lite-Instruct-AWQ,single_agent,hard,error_paradigm_shift,3,False,9163,=========== 1 error in 0.15s ======================================================================= ERROR: found no collectors for /home/jovyan/ai-agent-thesis/test_main.py::test_get_user_not_found  
20260430_150717_semantic_split_and_enum,2026-04-30T15:08:06.603613,DeepSeek-Coder-V2-Lite-Instruct-AWQ,single_agent,hard,semantic_split_and_enum,3,False,9289,================== 1 error in 0.19s ======================================================================= ERROR: found no collectors for /home/jovyan/ai-agent-thesis/test_main.py::test_create_user  
20260430_150806_pagination_and_envelope,2026-04-30T15:09:20.332480,DeepSeek-Coder-V2-Lite-Instruct-AWQ,single_agent,medium,pagination_and_envelope,3,False,9050,==================== 1 error in 0.25s ======================================================================= ERROR: found no collectors for /home/jovyan/ai-agent-thesis/test_main.py::test_get_users  
20260430_150920_error_paradigm_shift,2026-04-30T15:10:11.176038,DeepSeek-Coder-V2-Lite-Instruct-AWQ,single_agent,hard,error_paradigm_shift,3,False,7480,=========== 1 error in 0.16s ======================================================================= ERROR: found no collectors for /home/jovyan/ai-agent-thesis/test_main.py::test_get_user_not_found  
20260430_151011_semantic_split_and_enum,2026-04-30T15:11:02.320709,DeepSeek-Coder-V2-Lite-Instruct-AWQ,single_agent,hard,semantic_split_and_enum,3,False,7204,0.01s ===================================================================== ERROR: not found: /home/jovyan/ai-agent-thesis/test_main.py::test_create_user (no match in any of [<Module test_main.py>])  
20260430_151614_MAS_pagination_and_envelope_batch_1,2026-04-30T15:17:21.178436,DeepSeek-Coder-V2-Lite-Instruct-AWQ,multi_agent,medium,pagination_and_envelope,6,False,14396,py::test_get_users - assert 404 == 200 ====================================================================== 1 failed in 0.28s ======================================================================= 
20260430_151721_MAS_error_paradigm_shift_batch_1,2026-04-30T15:18:12.505320,DeepSeek-Coder-V2-Lite-Instruct-AWQ,multi_agent,hard,error_paradigm_shift,6,False,12440,get_user_not_found - assert 404 == 200 ====================================================================== 1 failed in 0.28s ======================================================================= 
20260430_151812_MAS_semantic_split_and_enum_batch_1,2026-04-30T15:19:36.292027,DeepSeek-Coder-V2-Lite-Instruct-AWQ,multi_agent,hard,semantic_split_and_enum,6,False,17311,::test_create_user - assert 404 == 200 ====================================================================== 1 failed in 0.26s ======================================================================= 
20260430_151936_MAS_pagination_and_envelope_batch_2,2026-04-30T15:20:46.714943,DeepSeek-Coder-V2-Lite-Instruct-AWQ,multi_agent,medium,pagination_and_envelope,6,False,15018,py::test_get_users - assert 404 == 200 ====================================================================== 1 failed in 0.29s ======================================================================= 
20260430_152046_MAS_error_paradigm_shift_batch_2,2026-04-30T15:21:40.355100,DeepSeek-Coder-V2-Lite-Instruct-AWQ,multi_agent,hard,error_paradigm_shift,6,False,12709,ound'} == {'detail': 'User not found'} ====================================================================== 1 failed in 0.30s ======================================================================= 
20260430_152140_MAS_semantic_split_and_enum_batch_2,2026-04-30T15:23:00.373650,DeepSeek-Coder-V2-Lite-Instruct-AWQ,multi_agent,hard,semantic_split_and_enum,6,False,16837,================== 1 error in 0.24s ======================================================================= ERROR: found no collectors for /home/jovyan/ai-agent-thesis/test_main.py::test_create_user  
20260430_152300_MAS_pagination_and_envelope_batch_3,2026-04-30T15:24:00.247303,DeepSeek-Coder-V2-Lite-Instruct-AWQ,multi_agent,medium,pagination_and_envelope,6,False,13365,py::test_get_users - assert 404 == 200 ====================================================================== 1 failed in 0.27s ======================================================================= 
20260430_152400_MAS_error_paradigm_shift_batch_3,2026-04-30T15:24:49.688921,DeepSeek-Coder-V2-Lite-Instruct-AWQ,multi_agent,hard,error_paradigm_shift,6,False,12065,get_user_not_found - assert 404 == 200 ====================================================================== 1 failed in 0.29s ======================================================================= 
20260430_152449_MAS_semantic_split_and_enum_batch_3,2026-04-30T15:26:15.080080,DeepSeek-Coder-V2-Lite-Instruct-AWQ,multi_agent,hard,semantic_split_and_enum,6,False,18924,::test_create_user - assert 405 == 200 ====================================================================== 1 failed in 0.22s ======================================================================= 
20260430_152615_MAS_pagination_and_envelope_batch_4,2026-04-30T15:27:31.669653,DeepSeek-Coder-V2-Lite-Instruct-AWQ,multi_agent,medium,pagination_and_envelope,6,False,14276,==================== 1 error in 0.21s ======================================================================= ERROR: found no collectors for /home/jovyan/ai-agent-thesis/test_main.py::test_get_users  
