run_id,timestamp,model,architecture,change_category,change_name,llm_calls,success,total_tokens,final_failure_reason
20260422_143103_pagination_and_envelope,2026-04-22T14:31:39.505311,Qwen2.5-Coder-7B-Instruct,single_agent,medium,pagination_and_envelope,3,False,6426,_users - assert 404 == 200 ============================================================================ 1 failed in 0.29s ============================================================================= 
20260422_143139_error_paradigm_shift,2026-04-22T14:32:14.168094,Qwen2.5-Coder-7B-Instruct,single_agent,hard,error_paradigm_shift,3,False,6334,_found - assert 404 == 200 ============================================================================ 1 failed in 0.30s ============================================================================= 
20260422_143214_semantic_split_and_enum,2026-04-22T14:32:48.880471,Qwen2.5-Coder-7B-Instruct,single_agent,hard,semantic_split_and_enum,3,False,6372,e_user - assert 404 == 201 ============================================================================ 1 failed in 0.28s ============================================================================= 
20260422_143248_pagination_and_envelope,2026-04-22T14:33:23.795812,Qwen2.5-Coder-7B-Instruct,single_agent,medium,pagination_and_envelope,3,False,6425,_users - assert 404 == 200 ============================================================================ 1 failed in 0.28s ============================================================================= 
20260422_143323_error_paradigm_shift,2026-04-22T14:33:59.005349,Qwen2.5-Coder-7B-Instruct,single_agent,hard,error_paradigm_shift,3,False,6364,_found - assert 404 == 200 ============================================================================ 1 failed in 0.31s ============================================================================= 
20260422_143359_semantic_split_and_enum,2026-04-22T14:34:32.659144,Qwen2.5-Coder-7B-Instruct,single_agent,hard,semantic_split_and_enum,3,False,6340,e_user - assert 404 == 201 ============================================================================ 1 failed in 0.27s ============================================================================= 
20260422_143432_pagination_and_envelope,2026-04-22T14:35:07.541965,Qwen2.5-Coder-7B-Instruct,single_agent,medium,pagination_and_envelope,3,False,6427,_users - assert 404 == 200 ============================================================================ 1 failed in 0.28s ============================================================================= 
20260422_143507_error_paradigm_shift,2026-04-22T14:35:41.809882,Qwen2.5-Coder-7B-Instruct,single_agent,hard,error_paradigm_shift,3,False,6335,_found - assert 404 == 200 ============================================================================ 1 failed in 0.27s ============================================================================= 
20260422_143541_semantic_split_and_enum,2026-04-22T14:36:16.027937,Qwen2.5-Coder-7B-Instruct,single_agent,hard,semantic_split_and_enum,3,False,6338,e_user - assert 404 == 201 ============================================================================ 1 failed in 0.29s ============================================================================= 
20260422_143616_pagination_and_envelope,2026-04-22T14:36:50.840104,Qwen2.5-Coder-7B-Instruct,single_agent,medium,pagination_and_envelope,3,False,6426,_users - assert 404 == 200 ============================================================================ 1 failed in 0.27s ============================================================================= 
20260422_143650_error_paradigm_shift,2026-04-22T14:37:26.959061,Qwen2.5-Coder-7B-Instruct,single_agent,hard,error_paradigm_shift,3,False,6355,_found - assert 404 == 200 ============================================================================ 1 failed in 0.33s ============================================================================= 
20260422_143726_semantic_split_and_enum,2026-04-22T14:38:00.938462,Qwen2.5-Coder-7B-Instruct,single_agent,hard,semantic_split_and_enum,3,False,6350,e_user - assert 404 == 201 ============================================================================ 1 failed in 0.27s ============================================================================= 
20260422_143800_pagination_and_envelope,2026-04-22T14:38:36.179337,Qwen2.5-Coder-7B-Instruct,single_agent,medium,pagination_and_envelope,3,False,6431,_users - assert 404 == 200 ============================================================================ 1 failed in 0.29s ============================================================================= 
20260422_143836_error_paradigm_shift,2026-04-22T14:39:11.012883,Qwen2.5-Coder-7B-Instruct,single_agent,hard,error_paradigm_shift,3,False,6359,_found - assert 404 == 200 ============================================================================ 1 failed in 0.30s ============================================================================= 
20260422_143911_semantic_split_and_enum,2026-04-22T14:39:45.413799,Qwen2.5-Coder-7B-Instruct,single_agent,hard,semantic_split_and_enum,3,False,6365,e_user - assert 404 == 201 ============================================================================ 1 failed in 0.28s ============================================================================= 
20260422_144138_MAS_pagination_and_envelope_batch_1,2026-04-22T14:42:31.837331,Qwen2.5-Coder-7B-Instruct,multi_agent,medium,pagination_and_envelope,6,False,12749,t_get_users - assert 404 == 200 ========================================================================== 1 failed in 0.27s ========================================================================== 
20260422_144231_MAS_error_paradigm_shift_batch_1,2026-04-22T14:43:03.321499,Qwen2.5-Coder-7B-Instruct,multi_agent,hard,error_paradigm_shift,6,False,9090,r_not_found - assert 404 == 200 ========================================================================== 1 failed in 0.28s ========================================================================== 
20260422_144303_MAS_semantic_split_and_enum_batch_1,2026-04-22T14:44:01.656031,Qwen2.5-Coder-7B-Instruct,multi_agent,hard,semantic_split_and_enum,6,False,13460,create_user - assert 404 == 200 ========================================================================== 1 failed in 0.28s ========================================================================== 
20260422_144401_MAS_pagination_and_envelope_batch_2,2026-04-22T14:44:54.591797,Qwen2.5-Coder-7B-Instruct,multi_agent,medium,pagination_and_envelope,6,False,12683,t_get_users - assert 404 == 200 ========================================================================== 1 failed in 0.27s ========================================================================== 
20260422_144454_MAS_error_paradigm_shift_batch_2,2026-04-22T14:45:25.827506,Qwen2.5-Coder-7B-Instruct,multi_agent,hard,error_paradigm_shift,6,False,9090,r_not_found - assert 404 == 200 ========================================================================== 1 failed in 0.29s ========================================================================== 
20260422_144525_MAS_semantic_split_and_enum_batch_2,2026-04-22T14:46:14.761651,Qwen2.5-Coder-7B-Instruct,multi_agent,hard,semantic_split_and_enum,6,False,11920,create_user - assert 404 == 200 ========================================================================== 1 failed in 0.27s ========================================================================== 
20260422_144614_MAS_pagination_and_envelope_batch_3,2026-04-22T14:47:07.460942,Qwen2.5-Coder-7B-Instruct,multi_agent,medium,pagination_and_envelope,6,False,12649,t_get_users - assert 404 == 200 ========================================================================== 1 failed in 0.29s ========================================================================== 
20260422_144707_MAS_error_paradigm_shift_batch_3,2026-04-22T14:47:39.153820,Qwen2.5-Coder-7B-Instruct,multi_agent,hard,error_paradigm_shift,6,False,9142,r_not_found - assert 404 == 200 ========================================================================== 1 failed in 0.34s ========================================================================== 
20260422_144739_MAS_semantic_split_and_enum_batch_3,2026-04-22T14:48:25.557808,Qwen2.5-Coder-7B-Instruct,multi_agent,hard,semantic_split_and_enum,6,False,11527,create_user - assert 404 == 200 ========================================================================== 1 failed in 0.29s ========================================================================== 
20260422_144825_MAS_pagination_and_envelope_batch_4,2026-04-22T14:49:22.153391,Qwen2.5-Coder-7B-Instruct,multi_agent,medium,pagination_and_envelope,6,False,13241,t_get_users - assert 404 == 201 ========================================================================== 1 failed in 0.29s ========================================================================== 
20260422_144922_MAS_error_paradigm_shift_batch_4,2026-04-22T14:49:53.613081,Qwen2.5-Coder-7B-Instruct,multi_agent,hard,error_paradigm_shift,6,False,9090,r_not_found - assert 404 == 200 ========================================================================== 1 failed in 0.29s ========================================================================== 
20260422_144953_MAS_semantic_split_and_enum_batch_4,2026-04-22T14:50:42.547432,Qwen2.5-Coder-7B-Instruct,multi_agent,hard,semantic_split_and_enum,6,False,11613,create_user - assert 404 == 200 ========================================================================== 1 failed in 0.74s ========================================================================== 
20260422_145042_MAS_pagination_and_envelope_batch_5,2026-04-22T14:51:38.846230,Qwen2.5-Coder-7B-Instruct,multi_agent,medium,pagination_and_envelope,6,False,13241,t_get_users - assert 404 == 201 ========================================================================== 1 failed in 0.27s ========================================================================== 
20260422_145138_MAS_error_paradigm_shift_batch_5,2026-04-22T14:52:10.178851,Qwen2.5-Coder-7B-Instruct,multi_agent,hard,error_paradigm_shift,6,False,9086,r_not_found - assert 404 == 200 ========================================================================== 1 failed in 0.26s ========================================================================== 
20260422_145210_MAS_semantic_split_and_enum_batch_5,2026-04-22T14:52:57.729227,Qwen2.5-Coder-7B-Instruct,multi_agent,hard,semantic_split_and_enum,6,False,11758,create_user - assert 404 == 200 ========================================================================== 1 failed in 0.30s ========================================================================== 
